id,version_id:id,model_id:id,extra_name,external_resource_name,key_for_external_id,external_list_method,external_search_method,external_get_method,external_update_method,external_create_method,external_delete_method,external_done_method
fl_spreeconnect.spree130_product_product,fl_spreeconnect.spree130,base_sale_multichannels.model_product_product,,products,id,,,products,,,,
fl_spreeconnect.spree130_product_images,fl_spreeconnect.spree130,product_images_olbs.model_product_images,,images,id,,,images,,,,
fl_spreeconnect.spree130_product_category,fl_spreeconnect.spree130,account.model_product_category,,,id,,,taxonomies/1/taxons,,,,
fl_spreeconnect.spree130_sale_order,fl_spreeconnect.spree130,base_sale_multichannels.model_sale_order,,orders,id,,,orders,,,,
fl_spreeconnect.spree130_res_partner_address,fl_spreeconnect.spree130,base.model_res_partner_address,,address,id,,,,,,,
fl_spreeconnect.spree130_product_template,fl_spreeconnect.spree130,account.model_product_template,,products,id,,,products,,,,
fl_spreeconnect.spree130_res_partner,fl_spreeconnect.spree130,account.model_res_partner,,,user_id,,,,,,,
fl_spreeconnect.spree130_sale_order_line,fl_spreeconnect.spree130,base_sale_multichannels.model_sale_order_line,,line_items,id,,,,,,,
spree130_account_tax,fl_spreeconnect.spree130,account.model_account_tax,,,id,,,tax_rates,,,,
spree130_res_country,fl_spreeconnect.spree130,base.model_res_country,,countries,id,,,countries,,,,
spree130_payment_method,fl_spreeconnect.spree130,base_sale_multichannels.model_payment_method,,,id,,,payment_methods,,,,
