id,version_id:id,model_id:id,extra_name,external_resource_name,key_for_external_id,external_list_method,external_search_method,external_get_method,external_update_method,external_create_method,external_delete_method,external_done_method
fl_spreeconnect.spree200_product_product,fl_spreeconnect.spree200,base_sale_multichannels.model_product_product,,variants,id,variants,,variants,,,,
fl_spreeconnect.spree200_product_category,fl_spreeconnect.spree200,account.model_product_category,,taxons,id,taxons,,taxons,,,,
fl_spreeconnect.spree200_sale_order,fl_spreeconnect.spree200,base_sale_multichannels.model_sale_order,,orders,id,orders,,orders,,,,
fl_spreeconnect.spree200_res_partner_address,fl_spreeconnect.spree200,base.model_res_partner_address,,address,id,,,,,,,
fl_spreeconnect.spree200_product_template,fl_spreeconnect.spree200,account.model_product_template,,products,id,products,,products,,,,
fl_spreeconnect.spree200_res_partner,fl_spreeconnect.spree200,account.model_res_partner,,users,user_id,,,users,,,,
fl_spreeconnect.spree200_sale_order_line,fl_spreeconnect.spree200,base_sale_multichannels.model_sale_order_line,,line_items,id,,,,,,,
fl_spreeconnect.spree200_account_tax,fl_spreeconnect.spree200,account.model_account_tax,,,id,,,tax_rates,,,,
fl_spreeconnect.spree200_res_country,fl_spreeconnect.spree200,base.model_res_country,,countries,id,,,countries,,,,
fl_spreeconnect.spree200_payment_method,fl_spreeconnect.spree200,base_sale_multichannels.model_payment_method,,,id,,,payment_methods,,,,
spree200_product_variant_dimension_type,fl_spreeconnect.spree200,product_variant_multi.model_product_variant_dimension_type,,,id,,,,,,,
spree200_product_variant_dimension_option,fl_spreeconnect.spree200,product_variant_multi.model_product_variant_dimension_option,,,id,,,,,,,
